央视频道,#genre#
安多卫视,http://223.110.241.139:6610/gitv/live1/G_ANDUO/G_ANDUO/
农林卫视,http://223.110.241.139:6610/gitv/live1/G_NONGLIN/G_NONGLIN/
康巴卫视,http://223.110.241.139:6610/gitv/live1/G_KANGBA/G_KANGBA/
卡酷少儿,http://223.110.241.139:6610/gitv/live1/G_KAKU/G_KAKU/
优漫卡通,http://223.110.241.139:6610/gitv/live1/G_YOUMAN/G_YOUMAN/
金鹰卡通,http://223.110.241.139:6610/gitv/live1/G_JINYING/G_JINYING/
嘉佳卡通,http://223.110.241.139:6610/gitv/live1/G_JIAJIA/G_JIAJIA/
炫动卡通,http://223.110.241.139:6610/gitv/live1/G_XUANDONG/G_XUANDONG/




浙江频道,#genre#
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
CHC频道,#genre#
CHC家庭影院,http://117.72.194.224:656/zb.php?id=chcjt

CHC动作电影,http://117.72.194.224:656/zb.php?id=chcdz

CHC影迷电影,http://117.72.194.224:656/zb.php?id=chcym
内蒙古频道,#genre#

    内蒙古卫视,http://www.kaniptv.cn/aa/内蒙.php?id=nmws
        内蒙古蒙古语卫视,http://www.kaniptv.cn/aa/内蒙.php?id=nmmyws
            内蒙古新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=nmxwzh
                内蒙古经济生活,http://www.kaniptv.cn/aa/内蒙.php?id=nmjjsh
                    内蒙古少儿频道,http://www.kaniptv.cn/aa/内蒙.php?id=nmse
                        内蒙古文体娱乐,http://www.kaniptv.cn/aa/内蒙.php?id=nmwtyl
                            内蒙古农牧频道,http://www.kaniptv.cn/aa/内蒙.php?id=nmnm
                                内蒙古蒙古语文化,http://www.kaniptv.cn/aa/内蒙.php?id=nmwh
                                    呼和浩特新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=hhht1
                                        锡林郭勒,http://www.kaniptv.cn/aa/内蒙.php?id=xlgl1
                                            阿拉善新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=als1
                                                巴彦淖尔,http://www.kaniptv.cn/aa/内蒙.php?id=byle1
                                                    鄂尔多斯,http://www.kaniptv.cn/aa/内蒙.php?id=erds1
                                                        赤峰新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=cf1
                                                            通辽新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=tl1
                                                               乌兰察布,http://www.kaniptv.cn/aa/内蒙.php?id=wlcb1
                                                                  乌海新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=wh1
                                                                     呼伦贝尔新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=hlbe1
                                                                        兴安新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=xa1
                                                                           包头新闻综合,http://www.kaniptv.cn/aa/内蒙.php?id=bt1
                                                                           CGTN频道,#genre#
                                                                           CGTN,https://0472.org/hls/cgtn.m3u8
                                                                           CGTN纪录,https://0472.org/hls/cgtnd.m3u8
                                                                           CGTN俄语,https://0472.org/hls/cgtne.m3u8
                                                                           CGTN法语,https://0472.org/hls/cgtnf.m3u8
                                                                           CGTN西语,https://0472.org/hls/cgtnx.m3u8
                                                                           CGTN阿语,https://0472.org/hls/cgtna.m3u8

                                                                           咪咕,#genre#
                                                                           睛彩青少,http://ott.mobaibox.com/PLTV/3/224/3221228427/index.m3u8

                                                                           睛彩竞技,http://ott.mobaibox.com/PLTV/3/224/3221228206/index.m3u8 

                                                                           睛彩竞技,http://ott.mobaibox.com/PLTV/4/224/3221228679/index.m3u8

